segment_id,road,direction,miles,road_class,func_class,aadt
segment_1401,road_11000421,SOUTHBOUND,0.6946640040040041,State Route,3,5047
segment_1402,road_11000421,NORTHBOUND,2.2545670020020023,State Route,3,10208
segment_1403,road_11000421,SOUTHBOUND,8.483837001001001,State Route,3,13752
segment_1404,road_11000422,WESTBOUND,2.223446,US Route,3,9946
segment_1405,road_11000422,EASTBOUND,1.8025300020020019,US Route,3,6253
segment_1406,road_11000422,EASTBOUND,3.241804003003003,US Route,4,14361
segment_1407,road_11000422,EASTBOUND,0.849031003003003,US Route,4,14762
segment_1408,road_11000422,WESTBOUND,0.051797003003003,US Route,3,9300
segment_1409,road_11000422,WESTBOUND,0.073482003003003,US Route,3,6806
segment_1410,road_11000422,EASTBOUND,1.521111004004004,US Route,3,12829
segment_1411,road_11000422,EASTBOUND,0.055005003003003004,US Route,3,7423
segment_1412,road_11000422,EASTBOUND,0.023694002002002,US Route,4,11016
segment_1413,road_11000422,EASTBOUND,0.114991,US Route,4,11019
segment_1414,road_11000422,EASTBOUND,0.398579,US Route,4,16077
segment_1415,road_11000422,WESTBOUND,1.267078001001001,US Route,4,12744
segment_1416,road_11000422,WESTBOUND,3.236736,US Route,4,14774
segment_1417,road_11000425,NORTHBOUND,0.615973,State Route,3,35430
segment_1418,road_11000452,WESTBOUND,0.14703000400400398,State Route,3,22871
segment_1419,road_11000452,WESTBOUND,0.013611003003003002,State Route,3,20317
segment_1420,road_11000452,EASTBOUND,0.427811004004004,State Route,3,16476
segment_1421,road_11000452,EASTBOUND,1.5189020020020019,State Route,3,15591
segment_1422,road_11000452,EASTBOUND,1.201225001001001,State Route,3,16549
segment_1423,road_11000452,WESTBOUND,1.526926003003003,State Route,3,14130
segment_1424,road_11000452,EASTBOUND,0.142118002002002,State Route,3,30344
segment_1425,road_11000478,WESTBOUND,2.650776,State Route,3,2376
segment_1426,road_11000478,WESTBOUND,3.170708001001001,State Route,3,2321
segment_1427,road_11000478,EASTBOUND,2.653779003003003,State Route,3,2232
segment_1428,road_11000478,EASTBOUND,2.056443,State Route,4,644
segment_1429,road_11000478,EASTBOUND,2.609674004004004,State Route,3,1535
segment_1430,road_11000478,WESTBOUND,2.609674004004004,State Route,3,1528
segment_1431,road_11000494,WESTBOUND,0.032924002002002004,State Route,3,8507
segment_1432,road_11000495,NORTHBOUND,1.3030860020020019,State Route,3,15722
segment_1433,road_11000495,NORTHBOUND,0.231356,State Route,3,24319
segment_1434,road_11000495,SOUTHBOUND,1.299434,State Route,3,18207
segment_1435,road_11000495,SOUTHBOUND,0.23335800200200202,State Route,3,24187
segment_1436,road_11000495,NORTHBOUND,0.521655003003003,State Route,3,19868
segment_1437,road_11000495,NORTHBOUND,0.328629003003003,State Route,3,16104
segment_1438,road_11000495,SOUTHBOUND,1.477734004004004,State Route,3,32741
segment_1439,road_11000495,SOUTHBOUND,1.901754,State Route,3,20349
segment_1440,road_11000495,NORTHBOUND,0.060426001001001,State Route,3,14871
segment_1441,road_11000498,SOUTHBOUND,1.182362003003003,State Route,3,11298
segment_1442,road_11000498,SOUTHBOUND,0.346771001001001,State Route,3,14864
segment_1443,road_11000498,NORTHBOUND,0.563673002002002,State Route,3,21045
segment_1444,road_11000501,SOUTHBOUND,2.158208003003003,State Route,3,10980
segment_1445,road_11000501,SOUTHBOUND,0.968525,State Route,3,25155
segment_1446,road_11000503,NORTHBOUND,1.557235001001001,State Route,3,20220
segment_1447,road_11000503,NORTHBOUND,3.154807001001001,State Route,3,16322
segment_1448,road_11000503,NORTHBOUND,0.5890610040040041,State Route,3,17567
segment_1449,road_11000523,EASTBOUND,1.127482,State Route,3,26999
segment_1450,road_11000523,WESTBOUND,2.160022004004004,State Route,3,21125
segment_1451,road_11000523,WESTBOUND,1.939344004004004,State Route,3,22497
segment_1452,road_11000523,EASTBOUND,2.153676002002002,State Route,3,20731
segment_1453,road_11000523,WESTBOUND,2.4328420040040037,State Route,3,20491
segment_1454,road_11000523,EASTBOUND,1.895881001001001,State Route,3,22220
segment_1455,road_11000524,NORTHBOUND,4.710197003003003,State Route,3,9471
segment_1456,road_11000524,SOUTHBOUND,1.077755,State Route,3,9978
